accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss
0.5818297266960144,0.32488125562667847,0.6728959083557129,0.20714613795280457,0.21858355402946472,0.7853131890296936
0.8195364475250244,0.47354990243911743,0.5229434370994568,0.7278971076011658,0.2558656930923462,0.7486007809638977
0.8932636976242065,0.5294003486633301,0.4665733277797699,0.8491630554199219,0.3428012728691101,0.6633750796318054
0.9224896430969238,0.5586099028587341,0.437128484249115,0.929685652256012,0.4002653956413269,0.6072004437446594
0.9355853199958801,0.5796212553977966,0.41600045561790466,0.9100801348686218,0.43044787645339966,0.5785329937934875
0.9483942985534668,0.6019700765609741,0.3935026228427887,0.9220356345176697,0.4636583626270294,0.5450449585914612
0.9496912360191345,0.6147781014442444,0.38059544563293457,0.9364960193634033,0.46423131227493286,0.5450181365013123
0.9514086842536926,0.6250760555267334,0.3701880872249603,0.9049815535545349,0.4905993938446045,0.5182551741600037
0.956043004989624,0.6362035274505615,0.3590790331363678,0.9289490580558777,0.5199894309043884,0.48896220326423645
0.9627401232719421,0.6536278128623962,0.34156614542007446,0.9350026845932007,0.5447995066642761,0.46434736251831055
